Code,Smiles
IS00068,CCOC(=O)c1ccc(NC(=O)C(C)Oc2ccccc2C)cc1
IS00069,COC(=O)c1ccc(NC(=O)C(C)Oc2ccccc2F)cc1
IS00070,COC(=O)c1ccc(NC(=O)C(C)Oc2ccccc2)cc1
IS00071,Fc1ccc(NC(=O)COc2ccccc2)cc1
IS00072,COC(=O)c1ccc(NC(=O)C(C)Oc2ccc(cc2)-c2ccccc2)cc1
IS00073,COC(=O)c1ccc(NC(=O)COc2ccccc2C(C)C)cc1
IS00074,O=C(NC1CCCCC1)c1cc2ccccc2o1
IS00075,CCCCCCNC(=O)c1cc2ccccc2o1
IS00085,CN1CCN(CC1)S(=O)(=O)c1ccc(O)cc1
IS00086,C1CN(CCO1)c1nc2ccccc2s1
IS00087,FC(F)(F)Oc1ccc(OCc2nc3ccccc3s2)cc1
IS00088,Clc1ccc(Oc2nc3ccccc3s2)cc1
IS00089,C1CN(CCC1c1ccccc1)c1nc2ccccc2s1
IS00090,CNc1nc2ccccc2s1
IS00091,C(Nc1nc2ccccc2s1)c1ccccc1
IS00092,CCCCCCNc1nc2ccccc2s1
IS00093,ClCC(=O)Nc1nc2ccccc2s1
IS00094,C(N1CCOCC1)c1nc2ccccc2s1
IS00095,O=C(CN1CCC(CC1)c1ccccc1)Nc1nc2ccccc2s1
IS00096,Nc1nc2ccc(OC(F)(F)F)cc2s1
IS00097,COc1ccc(cc1)S(=O)(=O)Nc1nc2ccccc2s1
IS00098,Nc1nc2ccc(F)cc2s1
IS00099,CC(=NNc1nc2ccccc2s1)c1cc(F)ccc1O
IS00100,O=C(CN1CCOCC1)Nc1nc2ccccc2s1
IS00101,CCc1ccc(Oc2nc3ccccc3s2)cc1
IS00109,Cc1cc(OC(=O)c2ccccc2)n(n1)-c1ccccc1
IS00111,CCOC(=O)\C=C\c1cc(C)ccc1N
IS00112,CCOC(=O)\C=C\c1cc(C)ccc1I
IS00113,CCOC(=O)\C=C\c1cc(C)ccc1Br
IS00114,Cc1ccc(I)c(\C=C\CCO)c1
IS00115,Cc1ccc(Br)c(\C=C\CCO)c1
IS00116,Cc1ccc(cc1)C1CCCO1
IS00117,COc1cccc(c1)C1CCCO1
IS00118,Clc1ccc(cc1)C1CCCO1
IS00119,CC(C)(C)c1ccc(cc1)C1CCCO1
