,Code,Smiles,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,IS00002,CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(cc1)N(C)C,12.194467435122197,12.194467435122197,0.287546640952576,-0.5101738473167052,0.834057371045985,17.636363636363637,303.3620000000001,282.194,303.158291532,118,0,0.3377357420938206,-0.4625129948621414,0.4625129948621414,0.3377357420938206,1.2727272727272727,1.9090909090909092,2.4545454545454546,16.532623880715224,9.95147892871955,2.314631517670049,-2.2796827917597473,2.2825285607102446,-2.448910262317208,5.945457808426985,-0.13858491638088216,2.4622840308510683,2.3841879620141326,580.9692548759078,16.275656403009393,13.265816594026226,13.265816594026226,10.434759407976113,7.163580949057408,7.163580949057408,5.276579143554265,5.276579143554265,3.507308803936542,3.507308803936542,2.3881887994991455,2.3881887994991455,-2.4999999999999996,72332.05569028098,15.880725758477096,6.510341855788567,3.2142857142857144,129.68153754476344,20.270349892663187,0.0,0.0,0.0,0.0,12.000419800289922,0.0,9.589074368143644,0.0,0.0,12.13273413692322,31.54366002800146,25.479769553093774,18.221827323730146,14.325937321943691,17.687806074973484,0.0,10.633577208012662,0.0,19.88931522852921,25.602135660717778,41.09906360866854,0.0,0.0,15.53348693886314,10.481923458755384,0.0,0.0,32.702645730157215,9.53140013787187,0.0,25.452766720226204,35.53561211697154,0.0,0.0,0.0,70.66999999999999,12.011146117099809,9.589074368143644,0.0,12.63799647685099,11.270143843125101,11.250837766380558,0.0,13.847474399381248,43.26072197005129,10.633577208012662,4.736862953800049,5.104367677626606,0.0,25.920391865079363,5.3973205624842535,2.827027273872513,-0.42204989711934027,6.857113935080204,0.0,3.741610951862125,3.9075509644476094,0.375,22,2,6,0,1,1,2,1,0,1,1,0,4,2,6,1,4,0,0,0,0,1,4.699497891168776,2,1.9436000000000002,84.51040000000003,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,IS00003,CC1Oc2cc(O)ccc2C(=O)C1C,11.77661186696901,11.77661186696901,0.08217592592592604,-0.12796296296296328,0.6833598676367356,25.428571428571427,192.21399999999994,180.11799999999997,192.078644244,74,0,0.1725770857866371,-0.5078223837356772,0.5078223837356772,0.1725770857866371,1.3571428571428572,2.0714285714285716,2.7857142857142856,16.492445185611956,9.914619568565325,2.3049297208516717,-2.271852362723546,2.3250633785216097,-2.328769594344604,6.010750122515845,0.07296091293418326,2.1389391967847025,2.5056760969877083,373.62474216645916,10.292528739883947,8.150461522375814,8.150461522375814,6.592224152875012,4.632300226629341,4.632300226629341,3.656357753871016,3.656357753871016,2.661202501999432,2.661202501999432,1.5728758351122627,1.5728758351122627,-1.51,1589.231823211034,9.061051450131087,3.0115292679284336,1.2501393727485284,82.31958361969741,9.843390348640755,17.602990054316113,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,6.923737199690624,19.056471336613843,6.06636706846161,11.48135753785839,14.637927532712578,5.783244946364939,0.0,0.0,5.917906046161393,19.95144078712955,0.0,23.762552697081826,0.0,11.49902366656781,4.736862953800049,0.0,11.49902366656781,0.0,16.993738728953947,0.0,5.917906046161393,24.205463075150064,18.19910120538483,0.0,0.0,0.0,46.53,0.0,9.901064578912528,0.0,23.554629213558542,11.3129633249809,0.0,12.13273413692322,6.06636706846161,13.847474399381248,0.0,4.736862953800049,5.514444444444444,0.0,11.77661186696901,9.235351473922902,0.5633333333333335,0.5737925170068026,4.591064814814815,-0.12796296296296328,3.706697845804989,0.0,0.36363636363636365,14,1,3,0,1,1,0,1,0,1,2,0,3,1,3,1,0,0,0,0,0,2,1.9491158314482246,2,1.9918999999999998,51.69130000000003,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,IS00004,COc1ccc2C(=O)CC(C)(C)Oc2c1,11.77994708994709,11.77994708994709,0.1286139455782318,-0.42019038170823886,0.7075558874808029,17.933333333333334,206.24099999999999,192.12899999999996,206.094294308,80,0,0.17006461038720955,-0.49662399538282403,0.49662399538282403,0.17006461038720955,1.4,2.1333333333333333,2.8,16.50675202760281,9.92975384570018,2.3193091987674244,-2.3110606159211406,2.346854282566575,-2.353223148822189,5.999861526615209,0.06185753256431311,2.1442599164346348,2.463834336232911,396.499379292522,11.05204176387779,9.163902460147014,9.163902460147014,7.015968531476429,4.919885524290723,4.919885524290723,4.323797619701227,4.323797619701227,2.461716510070765,2.461716510070765,1.7600708724808365,1.7600708724808365,-1.5099999999999998,2266.482731671409,10.023053661148,3.260044924862608,1.8187120115506137,89.0038372114049,9.473725907600098,17.100074477551498,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,25.98020853630447,6.06636706846161,19.094070655900538,14.268263091671919,5.783244946364939,0.0,0.0,0.0,25.869346833290944,7.109797541277533,23.762552697081826,0.0,11.49902366656781,9.473725907600098,0.0,11.49902366656781,0.0,18.49409329862616,0.0,0.0,30.626284698076077,18.19910120538483,0.0,0.0,0.0,35.53,5.601050810983688,4.794537184071822,0.0,5.783244946364939,23.483296781190816,0.0,0.0,25.30889874666236,13.847474399381248,0.0,9.473725907600098,10.82371409674981,0.0,11.77994708994709,0.0,0.22807350718065011,1.4571787603930468,5.2899768518518515,0.42294524754346163,3.820071806500378,1.5947593065003778,0.4166666666666667,15,0,3,0,1,1,0,1,0,1,0,0,3,0,3,1,1,0,0,0,0,0,2.1783736813100747,2,2.439,56.648500000000034,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,IS00005,Oc1ccc2C(=O)CC3(CCCC3)Oc2c1,11.99635723733938,11.99635723733938,0.14180555555555596,-0.2798842592592594,0.7277965660028178,21.875,218.25199999999995,204.13999999999996,218.094294308,84,0,0.17008730189535884,-0.5078223812450469,0.5078223812450469,0.17008730189535884,1.25,2.0,2.75,16.506537540411312,9.884885152507584,2.420988583610668,-2.3415733125455076,2.4312787965078178,-2.387568229633048,6.001086403179995,0.04490564845874798,2.6476825228954346,2.0342726934049353,433.35157437016005,11.173362107437434,9.0312948899293,9.0312948899293,7.685070510202192,5.738226667531454,5.738226667531454,4.77259694795189,4.77259694795189,3.589576973003131,3.589576973003131,2.78117222507869,2.78117222507869,-1.5099999999999998,7447.930936904858,9.697303174719337,3.238897135947127,1.3861687601996737,94.04363669496144,9.843390348640755,17.100074477551498,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,37.81602062862726,6.06636706846161,11.984273114623004,14.637927532712578,5.783244946364939,0.0,0.0,0.0,37.70515892561373,0.0,23.762552697081826,0.0,11.49902366656781,4.736862953800049,0.0,11.49902366656781,0.0,16.490823152189336,0.0,0.0,42.462096790398874,18.19910120538483,0.0,0.0,0.0,46.53,0.0,9.901064578912528,0.0,17.133807590632532,17.73378494790691,25.683286491704038,6.06636706846161,12.13273413692322,0.0,0.0,4.736862953800049,5.950787037037037,0.0,11.99635723733938,9.41443074452003,0.3268981481481483,0.8499045729402877,4.730168178382464,4.64812074829932,0.0,0.0,0.46153846153846156,16,1,3,1,1,2,0,1,0,1,0,0,3,1,3,1,0,1,0,1,1,0,1.9630354674380903,3,2.6702000000000012,58.88130000000004,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,IS00006,Oc1ccc2C(=O)CC3(CCCCC3)Oc2c1,12.108602135298563,12.108602135298563,0.1464351851851855,-0.2955092592592594,0.7473775079149452,22.0,232.27899999999994,216.15099999999995,232.109944372,90,0,0.1700873018950344,-0.5078223812450469,0.5078223812450469,0.1700873018950344,1.1764705882352942,1.9411764705882353,2.7058823529411766,16.506273682323894,9.782509596935567,2.4073903385584567,-2.401778091366159,2.420769969369186,-2.4304505218275896,6.00089687442644,0.01347361515159644,2.285897996379034,1.9825546043919131,447.1061566327445,11.880468888623982,9.738401671115849,9.738401671115849,8.185070510202191,6.238226667531454,6.238226667531454,5.126150338545164,5.126150338545164,3.839576973003131,3.839576973003131,2.957948920375327,2.957948920375327,-1.5099999999999998,10039.664000096716,10.63184336651083,3.7577541943005475,1.7946561995128218,100.40857880935805,9.843390348640755,17.100074477551498,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,6.4208216229260096,37.81602062862726,6.06636706846161,11.984273114623004,14.637927532712578,5.783244946364939,0.0,0.0,0.0,44.125980548539744,0.0,23.762552697081826,0.0,11.49902366656781,4.736862953800049,0.0,11.49902366656781,0.0,16.490823152189336,0.0,0.0,48.88291841332489,18.19910120538483,0.0,0.0,0.0,46.53,0.0,9.901064578912528,0.0,17.133807590632532,17.73378494790691,25.683286491704038,6.4208216229260096,18.19910120538483,0.0,0.0,4.736862953800049,6.030787037037037,0.0,12.108602135298563,9.469986300075586,0.3146745086923659,0.8617679988662137,4.75435759952129,5.87649108717561,0.0,0.0,0.5,17,1,3,1,1,2,0,1,0,1,0,0,3,1,3,1,0,1,0,1,1,0,2.350109059038384,3,3.0603000000000016,63.49830000000004,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,IS00007,COc1ccc2C(Cl)=C(C=O)C(C)(C)Oc2c1,11.071851694381458,11.071851694381458,0.43879913076341714,-0.7240098261526833,0.7593266963765415,17.176470588235293,252.69699999999997,239.59299999999996,252.055321956,90,0,0.15104239489904228,-0.4966240140021228,0.4966240140021228,0.15104239489904228,1.411764705882353,2.1176470588235294,2.7058823529411766,35.49570490516974,9.927900002245556,2.3398312839291187,-2.326504738271516,2.42697283814862,-2.344115554508317,6.507723500475049,-0.10578013022666306,2.271259333343019,2.6240275035763814,486.7598163469099,12.629392033067417,9.91211042115932,10.668039367177775,7.99153038999785,5.222014229367185,5.599978702376413,4.319970814623776,4.697935287633005,2.793312932387043,3.200513059127649,1.8282982971633128,2.25652430036158,-1.48,6195.9954613597565,11.98960467611348,4.075291319857312,1.9100014635410436,104.98244252049894,9.473725907600098,17.100074477551498,6.286160523129555,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,11.600939890232516,25.98020853630447,11.629818560158606,17.715188423460397,14.268263091671919,22.919386765475668,0.0,0.0,0.0,19.448525210364934,7.109797541277533,29.335657227151096,0.0,11.49902366656781,9.473725907600098,0.0,11.49902366656781,11.600939890232516,18.997008875390776,4.794537184071822,0.0,19.410925891078243,23.772205735454097,0.0,5.032286352113597,0.0,35.53,5.601050810983688,4.794537184071822,0.0,0.0,27.66786604044767,6.286160523129555,0.0,25.30889874666236,13.847474399381248,0.0,21.074665797832616,10.910284312799194,6.2209438775510195,11.071851694381458,0.43879913076341714,0.4479579239103053,1.3227034517510712,5.334922996976569,0.7455411470143614,3.614145880574452,1.5872940287226,0.3076923076923077,17,0,3,0,1,1,0,1,0,1,0,0,3,0,4,1,2,0,0,0,0,0,2.8741842273579943,2,3.0150000000000015,66.53800000000003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,IS00008,CC1(C)CC(=O)c2ccccc2O1,11.621134259259257,11.621134259259257,0.17300925925925958,-0.3557175925925926,0.6064724758054737,19.076923076923077,176.21499999999997,164.11899999999997,176.083729624,68,0,0.1700598297382198,-0.48663147187198647,0.48663147187198647,0.1700598297382198,1.3076923076923077,2.0,2.769230769230769,16.504126737693696,9.931796361387898,2.312031393422998,-2.307931846811213,2.316810552293471,-2.3525606859958414,5.997178373503995,0.06199850981004213,2.0162059044892517,2.48616427730081,344.81087242923417,9.474691494688164,7.833004438872778,7.833004438872778,6.084116878898293,4.396829486071969,4.396829486071969,3.957867159569456,3.957867159569456,2.159997158471503,2.159997158471503,1.6016368826684946,1.6016368826684946,-1.31,887.1305979752708,8.295578500721266,2.589010591027353,1.4384247155418382,77.5253498675014,4.736862953800049,11.350562644267594,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,12.13273413692322,25.980208536304467,0.0,11.984273114623004,9.53140013787187,5.783244946364939,0.0,0.0,0.0,25.869346833290944,0.0,29.828919765543436,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,11.384295757348628,0.0,0.0,30.626284698076073,24.26546827384644,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,11.384295757348628,17.73378494790691,0.0,0.0,0.0,38.112942673227685,0.0,4.736862953800049,5.6688425925925925,0.0,11.621134259259257,0.0,0.35430555555555576,0.8848148148148154,7.395810185185185,0.46231481481481485,3.8627777777777776,0.0,0.36363636363636365,13,0,2,0,1,1,0,1,0,1,0,0,2,0,2,1,0,0,0,0,0,0,1.6521031228512437,2,2.4304000000000006,50.096500000000034,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,IS00009,CCOc1ccc2\C(CC(C)(C)Oc2c1)=N\O,9.043840466742253,9.043840466742253,0.3617050500755856,-0.3617050500755856,0.6331111154998944,19.58823529411765,235.283,218.14699999999996,235.120843404,92,0,0.13250881248342236,-0.4937455462092698,0.4937455462092698,0.13250881248342236,1.4705882352941178,2.235294117647059,2.8823529411764706,16.507990368634935,9.922396918748069,2.3122376854969717,-2.3249300328878597,2.3529944222962214,-2.3575977097625054,6.03695011606671,0.10899186697565609,2.2633100456841273,2.4289491924455344,435.35157437016005,12.466255326250886,10.357188141869615,10.357188141869615,8.053973333937215,5.726901802126267,5.726901802126267,4.676203818331551,4.676203818331551,2.6751121400809064,2.6751121400809064,2.0034086556205706,2.0034086556205706,-1.71,6445.907010108394,11.766025204615092,4.277865847033945,2.352542337245953,100.85085196329186,14.68097893237739,17.100074477551498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15571272675054,32.903945735995094,18.050640183084614,12.318566967283619,14.68097893237739,5.711685002770702,0.0,0.0,5.15571272675054,32.79308403298157,6.606881964512918,23.762552697081826,0.0,11.49902366656781,9.473725907600098,0.0,11.49902366656781,0.0,23.1268708030446,0.0,0.0,32.75548471369488,23.35481393213537,0.0,0.0,0.0,51.05,0.0,0.0,0.0,5.601050810983688,24.488900423493533,11.3129633249809,0.0,0.0,38.970312804456704,5.15571272675054,14.68097893237739,11.293007605820105,0.0,0.0,12.399813082640463,1.1193843301209379,1.473370181405896,5.560254629629629,0.5877793524817334,6.483057484567901,0.0,0.46153846153846156,17,1,4,0,1,1,0,1,0,1,0,0,4,1,4,1,2,0,0,0,0,0,2.960792786950793,2,2.824700000000001,65.25850000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,IS00010,CCOc1ccc2C(=O)CC(C)(C)Oc2c1,11.849487985008818,11.849487985008818,0.1336096938775515,-0.4217050500755857,0.768397956273316,17.5625,220.26799999999994,204.13999999999996,220.109944372,86,0,0.17006461040578733,-0.49374552908579766,0.49374552908579766,0.17006461040578733,1.4375,2.1875,2.875,16.50761851121186,9.929693121556944,2.3197607107485467,-2.3117047105295296,2.3482832950841686,-2.353365793326654,5.999884663731331,0.06182839982599167,2.1506730367185556,2.3810287424196126,410.0465289172486,11.759148545064338,9.871009241333562,9.871009241333562,7.515968531476429,5.50741914960822,5.50741914960822,4.552686176361515,4.552686176361515,2.5370184836393226,2.5370184836393226,1.8895497814037823,1.8895497814037823,-1.5099999999999998,3600.226663466862,10.989791406271816,3.8139130950898736,2.0315036046836674,95.36877932580151,9.473725907600098,17.100074477551498,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,32.903945735995094,6.06636706846161,18.591155079135923,14.268263091671919,5.783244946364939,0.0,0.0,0.0,32.79308403298157,6.606881964512918,23.762552697081826,0.0,11.49902366656781,9.473725907600098,0.0,11.49902366656781,0.0,17.991177721861547,0.0,0.0,37.5500218977667,18.19910120538483,0.0,0.0,0.0,35.53,5.601050810983688,4.794537184071822,0.0,5.783244946364939,24.340666912419827,5.749511833283905,0.0,12.13273413692322,26.83757866753348,0.0,9.473725907600098,11.159881897203325,0.0,11.849487985008818,0.0,0.23364500661375676,1.5076374716553298,5.372476851851852,0.42458490803728877,6.368952546296296,0.0,0.46153846153846156,16,0,3,0,1,1,0,1,0,1,0,0,3,0,3,1,2,0,0,0,0,0,2.61963183479289,2,2.8291000000000013,61.26550000000004,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,IS00011,O=C(N1CCOCC1)N1CCc2c(C1)[nH]c1ccccc21,12.560542013101538,12.560542013101538,0.14130196523053762,0.14130196523053762,0.8043483825803126,18.857142857142858,285.347,266.19499999999994,285.147726848,110,0,0.32002631860337427,-0.3777717351060018,0.3777717351060018,0.32002631860337427,1.0952380952380953,1.9047619047619047,2.761904761904762,16.47800343937457,10.036648837537713,2.2730947272501023,-2.343608373537749,2.27345772468988,-2.4895316608758598,5.8516658388803755,0.04205344834568234,2.9234009402804597,1.5695490189739647,651.7281891504784,14.233840039752504,11.970072316991981,11.970072316991981,10.326499840494925,7.52805612436504,7.52805612436504,5.681240588492097,5.681240588492097,4.434838855876187,4.434838855876187,3.3109432367379474,3.3109432367379474,-2.0099999999999993,153326.53251582955,12.709744867287439,5.074455413104342,2.174709600359817,123.02483735031826,19.520660936448213,0.0,0.0,0.0,0.0,6.031114512338072,0.0,4.794537184071822,0.0,0.0,18.19910120538483,18.050640183084614,36.231122144667246,19.75852033493841,9.53140013787187,16.93403944441913,0.0,14.783797982648164,0.0,12.965578028838586,32.84803314676356,35.5228477603919,0.0,0.0,0.0,4.794537184071822,0.0,0.0,53.6629456417498,17.702440982638635,0.0,11.257379486545457,24.26546827384644,0.0,10.902924932081056,0.0,48.57,0.0,4.794537184071822,0.0,6.031114512338072,32.84803314676356,12.965578028838586,22.160304418626517,0.0,15.866186530162565,23.18307972633204,4.736862953800049,5.314773520914845,0.0,19.874655139833713,1.2971958196858993,3.7257948318216183,0.0,8.510905668205451,0.9260185185185185,4.183989834353291,0.0,0.4375,21,1,5,0,2,2,2,1,1,2,0,0,2,1,5,3,0,0,1,1,0,0,3.071192078141994,4,1.9781999999999997,80.20070000000004,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
